unix_time,px,py,vx,vy,psi,bax,bay,bwz
1744927577618417000,10.986178703831436,9.73221880003674,0.5956047079684373,0.513675439191085,0.030968905165970596,0.0,0.0,0.0
1744927577628375800,10.992103115047595,9.737332033236687,0.5948861035011919,0.5134335318104132,0.03306627465113802,0.0,0.0,0.0
1744927577638333700,10.997922606620879,9.742227037743802,0.5843508392777722,0.4915206003792057,0.03485060587264775,0.0,0.0,0.0
1744927577648292900,11.003499195370967,9.74703077787488,0.5599603118906286,0.4823564983157791,0.034007395784454345,0.0,0.0,0.0
1744927577658251800,11.008900182399941,9.751864566051562,0.5423276696195837,0.48537370358999127,0.03301908298710392,0.0,0.0,0.0
1744927577668210700,11.01426037852295,9.756701332010094,0.5382317447719657,0.485672710694125,0.034121744382654445,0.0,0.0,0.0
1744927577678168800,11.019500005783577,9.76151197110236,0.5261251002245363,0.48304924160970153,0.034439331444753654,0.0,0.0,0.0
1744927577688127700,11.024539390363506,9.766103242619113,0.5060181927650882,0.46102195189762224,0.032381211671683896,0.0,0.0,0.0
1744927577698087000,11.029507806374912,9.770517136040585,0.49889204745573706,0.44321093910684384,0.030437386419807342,0.0,0.0,0.0
1744927577708044800,11.034568333923412,9.775050484599078,0.5081412152445373,0.4552057514879049,0.030429124593450887,0.0,0.0,0.0
1744927577718003700,11.039727984134762,9.779686548919619,0.5180943890740973,0.4655197180955531,0.03105823257475125,0.0,0.0,0.0
1744927577727963000,11.044913900363431,9.78428606930628,0.5207318306911143,0.4618502431654688,0.029951672421603685,0.0,0.0,0.0
1744927577737920800,11.05017003862057,9.788919868085246,0.5277830139009054,0.465292228957726,0.02853978119011079,0.0,0.0,0.0
1744927577747880000,11.055621139847071,9.793615590903224,0.5473597713101725,0.4715101886732689,0.029635754457478278,0.0,0.0,0.0
1744927577757838800,11.061232026671282,9.798354836458772,0.5634042739871851,0.47588042409792275,0.031433832784890446,0.0,0.0,0.0
1744927577767796700,11.0668607397695,9.803173662429215,0.5651942582229889,0.48387130812062373,0.031014102445388658,0.0,0.0,0.0
1744927577777756000,11.072543372060421,9.808054119999142,0.5706084297384307,0.4900599031948594,0.030586993661845186,0.0,0.0,0.0
1744927577787715000,11.078379345429331,9.81303242274146,0.5860058208146531,0.49988480076295,0.03179317943432079,0.0,0.0,0.0
1744927577797674000,11.08430713155901,9.81803813370443,0.5952249876672379,0.502636934096209,0.03314078405485275,0.0,0.0,0.0
1744927577807632000,11.090249209325822,9.822876689329826,0.5966600494845636,0.4858524159691349,0.034129448692153126,0.0,0.0,0.0
1744927577817591000,11.096192096172885,9.827714720473738,0.5967412914140414,0.48579975136928705,0.03550229467662622,0.0,0.0,0.0
1744927577827550000,11.102100688214461,9.832591871746095,0.5932976575300694,0.4897279089413569,0.03763653616261457,0.0,0.0,0.0
1744927577837507800,11.107883040530906,9.837348789109754,0.5806215863644052,0.4776548979966445,0.03935866587025275,0.0,0.0,0.0
1744927577847467000,11.113423148143703,9.84212660601095,0.5562971425355612,0.4797534769096432,0.03898681411282434,0.0,0.0,0.0
1744927577857426000,11.1187572638089,9.846842786858838,0.5356129356854445,0.47356443461513253,0.03855774078391284,0.0,0.0,0.0
1744927577867384000,11.12395014015335,9.851417780625331,0.52143071468213,0.4593874591062925,0.03848415122146548,0.0,0.0,0.0
1744927577877343000,11.128976576900405,9.855969750373466,0.5047180659565428,0.4570755553460512,0.03700891624765711,0.0,0.0,0.0
1744927577887302000,11.133887595799932,9.86057456519095,0.49312864869882167,0.4623818712392033,0.034520468846001656,0.0,0.0,0.0
1744927577897260000,11.138846577504859,9.865225967279176,0.49794472330555134,0.4670598247021761,0.03313719684045334,0.0,0.0,0.0
1744927577907219000,11.143949496061966,9.869938443931607,0.5123978107126166,0.47319248636195843,0.03311343099066167,0.0,0.0,0.0
1744927577917177900,11.149174150303182,9.874707490833744,0.5246216189756451,0.4788728576587414,0.03265120354254059,0.0,0.0,0.0
1744927577927137000,11.15452408680581,9.879526521107275,0.5372015486277801,0.48389182274462755,0.031222893426412723,0.0,0.0,0.0
1744927577937095000,11.160103196247913,9.88438359420103,0.5602134213721102,0.48771180489347316,0.030940266153083013,0.0,0.0,0.0
1744927577947053800,11.165981822256315,9.889246540346447,0.5902886873450855,0.48830153384580777,0.033215436695653223,0.0,0.0,0.0
1744927577957013000,11.172047262759305,9.894121864903209,0.6090472344324831,0.4895444835034391,0.036569096010831775,0.0,0.0,0.0
1744927577966971000,11.178105126395065,9.89901704746332,0.6082864207653331,0.49153847916043697,0.0385859487044454,0.0,0.0,0.0
1744927577976929800,11.18403735399045,9.90391558942584,0.5956709672136523,0.4918758058139711,0.03865615740386383,0.0,0.0,0.0
1744927577986889000,11.189878582686859,9.908756209281842,0.586533522418095,0.486059690930031,0.038870438458422814,0.0,0.0,0.0
1744927577996846800,10.982028771186853,9.704532844247561,0.5665856796156564,0.4612402753544291,0.04051769573709841,0.0,0.0,0.0
1744927578006806000,10.98755352844828,9.709090749270548,0.5547557723671529,0.4576715322964748,0.04225368770839821,0.0,0.0,0.0
1744927578016765000,10.992847992444032,9.713672573006933,0.5316314046483186,0.46007327479799703,0.04220205992524166,0.0,0.0,0.0
1744927578026722800,10.997911062670989,9.718295949183412,0.5083965324439396,0.46424566734057676,0.040591730505183984,0.0,0.0,0.0
1744927578036682000,11.002824318362144,9.722873290021957,0.49335325097711774,0.4596231349389872,0.0384799838709279,0.0,0.0,0.0
1744927578046641000,11.00771368433455,9.727306100824334,0.4909544199063817,0.44511048432836553,0.03702729013808585,0.0,0.0,0.0
1744927578056598800,11.012668734324613,9.731701010398853,0.49754992921536223,0.44130471985048186,0.03630792331595041,0.0,0.0,0.0
1744927578066558000,11.017721393747946,9.736222790271643,0.5073511555827442,0.45404410856529775,0.03553020697730848,0.0,0.0,0.0
1744927578076516900,11.022899320883033,9.740864926221207,0.5199296242643677,0.46612938673586085,0.03463138518897364,0.0,0.0,0.0
1744927578086475800,11.028225019244273,9.745576337723843,0.5347677315004814,0.4730855317994334,0.033449243184611156,0.0,0.0,0.0
1744927578096434000,11.033775239430593,9.750206418880046,0.5573125733082801,0.46491893243257487,0.033313577867317444,0.0,0.0,0.0
1744927578106392800,11.039620376431486,9.754753364676477,0.5869259658088324,0.45657108680990655,0.03549030440449218,0.0,0.0,0.0
1744927578116351700,11.045676959158607,9.759477571000213,0.6081578012754099,0.4743702942830672,0.03881634188457604,0.0,0.0,0.0
1744927578126310000,11.051754010856015,9.764406330900702,0.6102131457699751,0.4949100704383009,0.041249793205572184,0.0,0.0,0.0
1744927578136268800,11.05771723935736,9.769298063643705,0.598783851765245,0.49119207372335544,0.04221917381538105,0.0,0.0,0.0
1744927578146227700,11.06351870697262,9.774066771887865,0.5825410050567048,0.4788388520982543,0.042469868651210795,0.0,0.0,0.0
1744927578156185900,11.069191616489373,9.778680029343068,0.5696321397699341,0.4632296192554805,0.0433592116503994,0.0,0.0,0.0
1744927578166144800,11.074729255510778,9.783241559204571,0.5560492646181387,0.45803551210508575,0.044381500943590994,0.0,0.0,0.0
1744927578176104000,11.08006376907897,9.787884176577132,0.5356528901979839,0.46617772771705873,0.04373633704754368,0.0,0.0,0.0
1744927578186061800,11.08520620029553,9.792556414992513,0.516365383381759,0.46915205649035663,0.04138393132406653,0.0,0.0,0.0
1744927578196020700,11.090298687990096,9.797050114483746,0.5113504196814432,0.45122448174318136,0.03998522788198845,0.0,0.0,0.0
1744927578205980000,11.095437774362662,9.801419501419906,0.51602951857793,0.4387419229191685,0.03985754925985173,0.0,0.0,0.0
1744927578215937800,11.10060678056634,9.805824173179161,0.5190338494891269,0.44228496714048743,0.039433660627089306,0.0,0.0,0.0
1744927578225897000,11.105824050721255,9.810321074920255,0.5238801629612846,0.4515460282855768,0.0381629272837049,0.0,0.0,0.0
1744927578235856000,11.111167356307236,9.814930278729321,0.5365357204089732,0.4628225817174781,0.0372384246472745,0.0,0.0,0.0
1744927578245814800,11.116705585611433,9.819560870751173,0.5561085365046119,0.4649702298297799,0.03779676662736152,0.0,0.0,0.0
1744927578255773000,11.122411263329543,9.8241365907563,0.5729224832170037,0.4594603826854722,0.03864595585219105,0.0,0.0,0.0
1744927578265731800,11.128229676782064,9.828759817790708,0.5842425822652381,0.4642306915831897,0.03907508945377497,0.0,0.0,0.0
